SeriousDlqin2yrs,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,NumberOfTimes90DaysLate,NumberOfTime60-89DaysPastDueNotWorse,MonthlyIncome,NumberOfDependents,DebtRatio_Flag,TotalPastDue,IncomePerDependent,HighDebtRatio,DebtRatio_log,HasAnyLatePayment,AgeGroup_25-34,AgeGroup_35-44,AgeGroup_45-54,AgeGroup_55-64,AgeGroup_65+
0,64,0,0.249908,0,0,8158.0,0,0,0,8158.0,0,0.22306994860559684,0,False,False,False,True,False
0,58,0,3496.0,0,0,5166.0,0,1,0,5166.0,1,8.159660737063376,0,False,False,False,True,False
0,41,0,0.456127,0,0,6666.0,0,0,0,6666.0,1,0.37578017124531643,0,False,True,False,False,False
0,43,0,0.00019,0,0,10500.0,2,0,0,3500.0,0,0.0001899819522860076,0,False,True,False,False,False
1,49,0,0.27182,0,0,400.0,0,0,0,400.0,0,0.2404489454705635,0,False,False,True,False,False
0,55,0,0.324678,0,0,8934.0,0,0,0,8934.0,0,0.281169411036391,0,False,False,True,False,False
0,25,0,0.473421,0,0,2200.0,0,0,0,2200.0,1,0.3875869079137511,0,False,False,False,False,False
1,31,0,0.017415,0,0,4076.0,0,0,0,4076.0,0,0.01726509676157488,0,True,False,False,False,False
1,37,2,0.23371,0,0,7166.0,0,0,2,7166.0,0,0.21002588976073677,1,False,True,False,False,False
0,55,0,0.420954,0,0,3750.0,0,0,0,3750.0,1,0.35132847702167563,0,False,False,True,False,False
1,53,10,0.33162,3,1,3500.0,0,0,14,3500.0,0,0.2863962461313239,1,False,False,True,False,False
0,57,0,0.337166,0,0,16000.0,0,0,0,16000.0,0,0.2905524489767187,0,False,False,False,True,False
1,39,8,0.961171,0,1,9116.0,1,0,9,4558.0,1,0.6735417438204298,1,False,True,False,False,False
0,61,0,0.549059,0,0,5900.0,1,0,0,2950.0,1,0.43764764979909593,0,False,False,False,True,False
0,78,0,888.0,0,0,5166.0,0,1,0,5166.0,1,6.790097235513905,0,False,False,False,False,True
0,58,0,1328.0,0,0,5166.0,2,1,0,1722.0,1,7.192182058713246,0,False,False,False,True,False
0,30,0,0.417556,0,0,2904.0,0,0,0,2904.0,1,0.3489342620122613,0,True,False,False,False,False
0,27,0,10.0,0,0,5166.0,0,0,0,5166.0,1,2.3978952727983707,0,True,False,False,False,False
0,60,0,0.386186,0,0,9106.0,1,0,0,4553.0,1,0.32655609089801235,0,False,False,False,True,False
0,26,0,0.07322,0,1,6500.0,0,0,1,6500.0,0,0.07066347525107239,1,True,False,False,False,False
0,56,0,0.494101,0,0,5000.0,0,0,0,5000.0,1,0.4015246881739218,0,False,False,False,True,False
0,57,0,0.257227,0,0,15600.0,0,0,0,15600.0,0,0.2289085020071951,0,False,False,False,True,False
0,31,0,0.463007,0,0,5500.0,1,0,0,2750.0,1,0.3804939067155359,0,True,False,False,False,False
0,62,0,0.372231,0,0,8577.0,2,0,0,2859.0,0,0.31643788247844123,0,False,False,False,True,False
0,50,0,0.582908,0,0,8038.0,2,0,0,2679.3333333333335,1,0.45926366171156713,0,False,False,True,False,False
1,42,3,1296.0,0,0,5166.0,0,1,3,5166.0,1,7.167809184316444,1,False,True,False,False,False
0,81,0,0.000678,0,0,5899.0,0,0,0,5899.0,0,0.0006777702618357853,0,False,False,False,False,True
